Date,sConfirmed,testDate,testConfirmed
1,1,17,1695
2,2,22,7798
3,6,26,17963
4,13,30,35136
5,15,38,95923
6,32,43,131646
7,45,48,158273
8,84,54,184948
9,120,58,200210
10,165,64,207634
11,222,69,215216
12,259,,
13,400,,
14,500,,
15,673,,
16,1073,,
18,2277,,
19,2277,,
20,5232,,
21,6391,,
23,9942,,
24,11748,,
25,13910,,
27,20410,,
28,25374,,
29,28768,,
31,39885,,
32,49515,,
33,57786,,
34,65719,,
35,73235,,
36,80110,,
37,87956,,
39,104118,,
40,112065,,
41,119199,,
42,126168,,
44,136675,,
45,141942,,
46,148220,,
47,153222,,
49,163027,,
50,166831,,
51,170099,,
52,172541,,
53,177644,,
55,190839,,
56,191726,,
57,198674,,
59,204178,,
60,208389,,
61,213024,,
62,202990,,
63,205905,,
65,209465,,
66,210773,,
67,212917,,
68,213435,,
70,216582,,
71,217466,,
72,218011,,
73,219329,,
74,220325,,
75,221447,,
76,222857,,
77,223578,,
78,224350,,
79,227436,,
80,228030,,
